THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
best|resort,Resort migliore,Resort migliori,Resort,Resort,property_type,Resort_migliori
best|stay,Miglior soggiorno in hotel,Migliori soggiorni in hotel,Hotel,Hotel,property_type,Migliorsoghotel
birdwatching,Hotel vicino a zone di birdwatching,Hotel vicino a zone di birdwatching,Hotel,Hotel,property_type,Hotel_Birdwatch
blacksandbeach,Hotel vicino a spiagge di sabbia nera,Hotel vicino a spiagge di sabbia nera,Hotel,Hotel,property_type,SpiagSabbiaNera
boating,Hotel per amanti delle gite in barca ,Hotel per amanti delle gite in barca ,Hotel,Hotel,property_type,Hotel_Barca
booking,Prenotazione dell'hotel,Prenotazioni degli hotel,Hotel,Hotel,property_type,Prenota_hotel
booking|hotel|lastminute,Hotel last minute,Hotel last minute,Hotel,Hotel,property_type,Hotel_Last_Min
booking|hotel|suites,Suite di hotel,Suite di hotel,Suite di hotel,Suite di hotel,property_type,Suite_Hotel
boutique,Boutique hotel,Boutique hotel,Hotel,Hotel,property_type,Boutique_Hotel
bowling,Hotel vicino a sale da bowling,Hotel vicino a sale da bowling,Hotel,Hotel,property_type,Hotel_Bowling
breakfast,Hotel con colazione,Hotel con colazione,Hotel,Hotel,property_type,Hotel_Colazione
budget,Hotel economico,Hotel economici,Hotel,Hotel,property_type,Hotel_Econ
budget|hotel,Hotel economico,Hotel economici,Hotel,Hotel,property_type,Hotel_Econ
buffet,Hotel con buffet,Hotel con buffet,Hotel,Hotel,property_type,Hotel_Buffet
bungeejumping,Hotel per amanti del bungee jumping,Hotel per amanti del bungee jumping,Hotel,Hotel,property_type,HotelBungeeJump
business,Hotel per viaggi di lavoro,Hotel per viaggi di lavoro,Hotel,Hotel,property_type,Hotel_Business
cabin,Baita,Baite,Cabina,Cabine,property_type,Cabine
cafes,Hotel con bar,Hotel con bar,Hotel,Hotel,property_type,Hotel_con_bar
camping,Campeggio,Campeggi,Campeggio,Campeggi,property_type,Campeggi
canoeing,Hotel per amanti del canoismo,Hotel per amanti del canoismo,Hotel,Hotel,property_type,Hotel_Canoismo
capsule,Capsule Hotel,Capsule Hotel,Hotel,Hotel,property_type,Capsule_Hotel
caravanpark,Campeggio per roulotte,Campeggi per roulotte,Campeggio per roulotte,Campeggi per roulotte,property_type,Camp_Roulotte
casino,Hotel con casinò,Hotel con casinò,Hotel,Hotel,property_type,Hotel_Casinò
castle,Hotel vicino a un castello,Hotel vicino a castelli,Hotel,Hotel,property_type,Hotel_Castello
catering,Hotel con servizio catering,Hotel con servizio catering,Hotel,Hotel,property_type,Hotel_Catering
