THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
cathedral,Hotel near Cathedral,Hotels near Cathedrals,Hotel,Hotels,property_type,HotelsCathedral
childcare,Hotel with Childcare,Hotels with Childcare,Hotel,Hotels,property_type,HotelsChildcare
coralreefs,Hotel near Coral Reefs,Hotels near Coral Reefs,Hotel,Hotels,property_type,HotelsCoralReef
dvdplayer,Hotel with DVD Player,Hotels with DVD Players,Hotel,Hotels,property_type,HotelsDVDPlayer
segwaytours,Hotel with Segway Tour,Hotels with Segway Tours,Hotel,Hotels,property_type,HotelSegwayTour
festivals,Hotel for Festivals,Hotels for Festivals,Hotel,Hotels,property_type,HotelsFestivals
group,Hotel for Group,Hotels for Groups,Hotel,Hotels,property_type,HotelsforGroups
horseracing,Hotel for Horseracing Fans,Hotels for Horseracing Fans,Hotel,Hotels,property_type,HotelsHorserace
horsebackriding,Hotel near Horsebackriding,Hotels near Horsebackriding,Hotel,Hotels,property_type,HotelsHorseRide
innertubing,Hotel near Inner Tubing,Hotels near Inner Tubing,Hotel,Hotels,property_type,HotelsInnerTube
lazyriver,Hotel with Lazy River,Hotels with Lazy Rivers,Hotel,Hotels,property_type,HotelsLazyRiver
livemusic,Hotel with Live Music,Hotels with Live Music,Hotel,Hotels,property_type,HotelsLiveMusic
ruins,Hotel near Ruins,Hotels near Ruins,Hotel,Hotels,property_type,HotelsnearRuins
newyear,Hotel for New Year's Travel,Hotels for New Year's Travel,Hotel,Hotels,property_type,HotelsNewYears
nightclub,Hotel near Nightclubs,Hotels near Nightclubs,Hotel,Hotels,property_type,HotelsNightclub
snorkeling,Hotel near Snorkeling,Hotels near Snorkeling,Hotel,Hotels,property_type,HotelSnorkeling
snowmobileriding,Hotel near Snow-Mobile Riding,Hotels near Snow-Mobile Riding,Hotel,Hotels,property_type,HotelSnowMobile
snowtubing,Hotel near Snow Tubing,Hotels near Snow Tubing,Hotel,Hotels,property_type,HotelSnowTubing
nudebeach,Hotel near Nude Beachs,Hotels near Nude Beaches,Hotel,Hotels,property_type,HotelsNudeBeach
oceanview,Hotel with an Ocean View,Hotels with an Ocean View,Hotel,Hotels,property_type,HotelsOceanView
overwater,Hotel over Water,Hotels over Water,Hotel,Hotels,property_type,HotelsOverWater
paddleboarding,Hotel near Paddleboarding,Hotels near Paddleboarding,Hotel,Hotels,property_type,HotelsPadBoard
fitnesscenter|hotel|nearme|spa,Hotel with Spa and Fitness Center near You,Hotels with Spas and Fitness Centers near You,Hotel,Hotels,property_type,HotelSpaFitness
rockclimbing,Hotel near Rock Climbing,Hotels near Rock Climbing,Hotel,Hotels,property_type,HotelsRockClimb
scenery,Hotel with Scenery,Hotels with Scenery,Hotel,Hotels,property_type,HotelsScenery
steamroom,Hotel with Steam Room,Hotels with Steam Rooms,Hotel,Hotels,property_type,HotelsSteamRoom
swimupbar,Hotel with Swim-Up Bar,Hotels with Swim-Up Bars,Hotel,Hotels,property_type,HotelsSwimUpBar
stargazing,Hotel near Stargazing,Hotels near Stargazing,Hotel,Hotels,property_type,HotelStargazing
transportationservices,Hotel with Transportation Services,Hotels with Transportation Services,Hotel,Hotels,property_type,HotelsTransport
wakeboarding,Hotel near Wakeboarding,Hotels near Wakeboarding,Hotel,Hotels,property_type,HotelsWakeBoard
washerdryer,Hotel with Washer and Dryer,Hotels with Washer and Dryer,Hotel,Hotels,property_type,HotelsWashDryer
sauna,Hotel with Sauna,Hotels with Saunas,Hotel,Hotels,property_type,HotelswithSauna
wifi,Hotel with Wifi,Hotels with Wifi,Hotel,Hotels,property_type,HotelswithWifi
ziplining,Hotel near Ziplining,Hotels near Ziplining,Hotel,Hotels,property_type,HotelsZiplining
thanksgiving,Hotel for Thanksgiving Travel,Hotels for Thanksgiving Travel,Hotel,Hotels,property_type,HotelThanksgvng
university,Hotel near University,Hotels near Universities,Hotel,Hotels,property_type,HotelUniversity
valentinesday,Hotel for Valentine's Day,Hotels for Valentine's Day,Hotel,Hotels,property_type,HotelValentines
